OPERADOR,SERVICIO,MODALIDAD,LOCALIDAD,INDICATIVO,BLOQUE,RESOLUCION,FECHA
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6907,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,LA DULCE,2264,407,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,LA DULCE,2264,405,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,ORAN,3878,554,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,LA PLATA,221,599,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6906,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,LA DULCE,2264,406,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6951,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,ORAN,3878,553,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,LA DULCE,2264,408,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,ORAN,3878,555,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6950,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6947,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6945,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6949,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6896,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6943,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6894,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6953,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,MENDOZA,261,629,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,LA RIOJA,380,4330,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,SRMC/PCS,CPP,AMBA,11,6895,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,TILISARAO,2656,417,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,TILISARAO,2656,418,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,TRES LOMAS,2394,418,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,TRES LOMAS,2394,416,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,SAN PEDRO (PROV.  JUJUY),3888,450,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,TILISARAO,2656,415,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,TRES LOMAS,2394,417,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,TRES LOMAS,2394,415,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,TRES LOMAS,2394,419,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,TILISARAO,2656,416,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,TRELEW,280,4349,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,SANTA ROSA (PROV.  LA PAMPA),2954,632,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,SANTA ROSA (PROV.  LA PAMPA),2954,633,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,SANTA ROSA (PROV.  LA PAMPA),2954,630,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,SANTA ROSA (PROV.  LA PAMPA),2954,628,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,SANTA ROSA (PROV.  LA PAMPA),2954,627,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,SANTA ROSA (PROV.  LA PAMPA),2954,631,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,VICTORICA,2338,405,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,VICTORICA,2338,402,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,SANTA ROSA (PROV.  LA PAMPA),2954,626,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,VICTORICA,2338,401,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,TILISARAO,2656,414,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,VICTORICA,2338,404,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,SANTA ROSA (PROV.  LA PAMPA),2954,629,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,TRELEW,280,4348,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,SAN SALVADOR DE JUJUY,388,502,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,TRELEW,280,420,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,SAN SALVADOR DE JUJUY,388,503,SC 125/07,39282
COOPERATIVA TELEFONICA Y OTROS SERVICIOS DE VILLA GESELL COTEL LIMITADA,SBT,BASICA,MAR DEL PLATA,223,5840,SC 120/07,39282
COOPERATIVA TELEFONICA Y OTROS SERVICIOS DE VILLA GESELL COTEL LIMITADA,SBT,BASICA,LA PLATA,221,5000,SC 120/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,VICTORICA,2338,403,SC 125/07,39282
COOPERATIVA TELEFONICA Y OTROS SERVICIOS DE VILLA GESELL COTEL LIMITADA,SBT,BASICA,DOLORES (PROV.  BUENOS AIRES),2245,507,SC 120/07,39282
COOPERATIVA TELEFONICA Y OTROS SERVICIOS DE VILLA GESELL COTEL LIMITADA,SBT,BASICA,AMBA,11,46061,SC 120/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,TRELEW,280,4347,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,SAN PEDRO (PROV.  JUJUY),3888,439,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,TRELEW,280,4210,SC 125/07,39282
TELEFONICA MOVILES ARGENTINA S.A.,STM/PCS,CPP,TRELEW,280,4211,SC 125/07,39282
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN MARTIN DE LOS ANDES,2972,439,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN MARTIN (PROV.  MENDOZA),263,4315,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RIO CUARTO,358,432,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RAFAELA,3492,685,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN MARTIN DE LOS ANDES,2972,436,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,TINTINA,3846,499,SC 148/07,39321
TELECOM ARGENTINA S.A.,SRMC/PCS,CPP,PILAR (PROV.  BUENOS AIRES),230,4347,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RAFAELA,3492,682,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN LORENZO (PROV.  SANTA FE),3476,623,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RESISTENCIA,362,4780,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN LORENZO (PROV.  SANTA FE),3476,625,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RAFAELA,3492,686,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,TRELEW,280,4218,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN MARTIN DE LOS ANDES,2972,438,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN MARTIN (PROV.  MENDOZA),263,4314,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SALADAS,3782,451,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,TRELEW,280,4219,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RAFAELA,3492,683,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,VENADO TUERTO,3462,640,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN MARTIN DE LOS ANDES,2972,437,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN LORENZO (PROV.  SANTA FE),3476,624,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,VICTORIA,3436,412,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,VICTORIA,3436,414,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,VICTORIA,3436,413,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN MARTIN DE LOS ANDES,2972,441,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RAFAELA,3492,680,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,VENADO TUERTO,3462,638,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,PARANA,343,468,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SALSACATE,3542,470,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN MARTIN DE LOS ANDES,2972,440,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,VENADO TUERTO,3462,639,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RESISTENCIA,362,4779,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,VICUÑA MACKENNA,3583,417,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,POSADAS,376,4733,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,VENADO TUERTO,3462,642,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,PASO DE LOS LIBRES,3772,443,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,VENADO TUERTO,3462,641,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RAFAELA,3492,684,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RESISTENCIA,362,4776,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN LORENZO (PROV.  SANTA FE),3476,622,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RESISTENCIA,362,4777,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RESISTENCIA,362,4778,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,POSADAS,376,4731,SC 148/07,39321
TELECOM ARGENTINA S.A.,SRMC/PCS,CPP,PILAR (PROV.  BUENOS AIRES),230,4349,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SANTA FE,342,513,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN FRANCISCO (PROV. CORDOBA),3564,659,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,ROSARIO,341,324,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SANTA FE,342,512,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SANTA FE,342,515,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,ROSARIO,341,320,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,ROSARIO,341,323,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,ROSARIO,341,322,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN MIGUEL DE TUCUMAN,381,577,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN MIGUEL DE TUCUMAN,381,598,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SANTA MARIA (PROV.  CATAMARCA),3838,497,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SANTA ROSA (PROV.  LA PAMPA),2954,659,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SANTA ROSA (PROV.  LA PAMPA),2954,657,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SANTA ROSA (PROV.  LA PAMPA),2954,658,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RIO TERCERO,3571,595,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SANTA FE,342,514,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN MIGUEL DE TUCUMAN,381,599,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN NICOLAS,336,4334,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,PUERTO IGUAZU,3757,504,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,PUERTO IGUAZU,3757,501,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN MIGUEL DE TUCUMAN,381,578,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,POSADAS,376,4709,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,PUERTO IGUAZU,3757,502,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SANTA FE,342,511,SC 148/07,39321
